text,label
I am still waiting on my card?,11
What can I do if my card still hasn't arrived after 2 weeks?,11
I have been waiting over a week. Is the card still coming?,11
Can I track my card while it is in the process of delivery?,11
"How do I know if I will get my card, or if it is lost?",11
When did you send me my new card?,11
Do you have info about the card on delivery?,11
What do I do if I still have not received my new card?,11
Does the package with my card have tracking?,11
I ordered my card but it still isn't here,11
Why has my new card still not come?,11
"I still haven't received my card after two weeks, is it lost?",11
Can you track my card for me?,11
Is there a way to track the delivery of my card?,11
It's been a week since I ordered my card and it's not here. Please help?,11
Will I be able to track the card that was sent to me?,11
I don't have my card in 1 week.  Should I be worried?,11
How do I know when my new card is going to arrive?,11
My new card has not been delivered to my home yet. What is going on?,11
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,11
"On the card that is coming, what's the tracking info?",11
What is the status of my card's delivery?,11
Have you sent out my card yet?,11
My card isn't here yet.,11
where is my new card?,11
It's been a week since you sent my card and I still don't have it.,11
How do I track the card you sent me?,11
When will I recieve my new card?,11
When will I get my new card?,11
What is the expected delivery date for my card?,11
Is there a tracking number for the card you sent me?,11
I would like to track the card you sent to me.,11
Has my card been lost in delivery?,11
My new card hasn't came in.,11
Where is the card I ordered 2 weeks ago?,11
Can I get an update on my replacement card?,11
How long does it take for a new card to ship?,11
What's the tracking on the card you sent?,11
I haven't received my card and am worried it is lost.,11
My card still hasn't been delivered,11
I need to find out where the card is that I ordered.,11
Where is my credit card that was to be mailed?,11
I ordered my card but it hasn't been delivered yet,11
Am I able to track the card that was just sent to me?,11
Can you tell me why I haven't received my new card?,11
I'm still waiting for my new card.,11
Is my card lost? I am still waiting for it to be delivered.,11
Should I keep waiting for my card to be delivered?,11
Can I track when my card will be delivered?,11
How can I check on the status of my new card?,11
"A card has been sent to me, how do I track it?",11
Is there a way I can get my card expedited?,11
What can I do to track the card you sent me?,11
why hasnt my card come in yet?,11
How can I periodically check the delivery of the card you sent?,11
What's the reason my new card hasn't come?,11
How long does it take for me to get my new card?,11
I don't have my card after 1 week. What are my next steps?,11
I know I'm getting a new card but would like know when I can expect to receive it.,11
I want to find out what happened to my new card?,11
Was there a way for me to get tracking for that?,11
I am still waiting for my card.,11
My card hasn't arrived.,11
Can I track the card you sent to me?,11
I haven't gotten my new card.,11
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,11
Will I have to wait much longer for my new card to arrive?,11
how to track the card you sent,11
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,11
How can I check on the delivery status of my card?,11
"My card has not been delivered yet and its been a week since I ordered it, please help",11
What's the expected wait time to recieve my new card?,11
How can I see the progress of delivery of the card that was sent?,11
"My card was supposed to arrive, but hasn't?",11
I ordered a card and would like to know how to track the delivery progress of it.,11
How long will it take for me to get my card?,11
My card hasn't shown up yet.,11
Does the card you sent have a tracking number?,11
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,11
maximum how many days get the courier?,11
Is there a reason my new card hasn't arrived yet?,11
"I've been waiting a while for my card, is there a way to know when it will arrive?",11
How can I track my card's delivery?,11
Can I track the card that was just sent to me?,11
"If I ordered my new card last week, how much longer should I wait to receive it?",11
"What's go on, where is my new card?",11
Where is my new card if I haven't received it yet?,11
Where is my card?,11
Can you tell me why I haven't received my new card yet?,11
Is there a way to track my card?,11
Is there a way to track the new card you sent me?,11
I'm still waiting for my card.,11
What do I need to do to get my new card which I have requested 2 weeks ago?,11
WHAT IS THE SOLUTION OF THIS PROBLEM,11
Could I get tracking on the card?,11
Can you help me track my card?,11
Shouldn't my new card be here by now?,11
